SK_ID_CURR,AGE,CODE_GENDER,NAME_FAMILY_STATUS,AMT_INCOME_TOTAL,OCCUPATION_TYPE
101045,43,F,Civil marriage,67500.0,Low-skill Laborers
101047,37,F,Single / not married,94500.0,Secretaries
101080,24,F,Civil marriage,90000.0,Sales staff
101093,24,F,Married,166500.0,High skill tech staff
101111,27,F,Married,225000.0,Accountants
101112,42,F,Married,202500.0,Accountants
101147,33,M,Married,315000.0,Drivers
101153,38,F,Single / not married,225000.0,Cleaning staff
101176,54,F,Married,157500.0,Accountants
101177,43,F,Separated,225000.0,Managers
101178,54,M,Married,328500.0,Laborers
101179,39,M,Married,225000.0,High skill tech staff
101183,28,F,Married,90000.0,Laborers
101233,32,F,Married,135000.0,Core staff
101283,56,M,Married,112500.0,
101288,52,F,Married,126000.0,Core staff
101293,45,F,Married,180000.0,Medicine staff
101304,29,F,Married,90000.0,
101306,60,F,Married,180000.0,
101314,28,F,Civil marriage,112500.0,Sales staff
101317,52,M,Married,310500.0,Drivers
101321,47,F,Married,135000.0,Core staff
101324,41,F,Married,121500.0,Core staff
101335,32,M,Married,135000.0,Laborers
101402,32,M,Married,90000.0,Laborers
101405,32,F,Married,270000.0,Accountants
101414,59,M,Civil marriage,135000.0,
101418,23,M,Civil marriage,156600.0,Core staff
101421,31,F,Civil marriage,135000.0,
101432,36,F,Civil marriage,157500.0,Accountants
101441,31,F,Widow,180000.0,Laborers
101452,28,F,Single / not married,180000.0,Laborers
101473,36,F,Married,67500.0,Cooking staff
101498,32,M,Married,236799.0,Core staff
101499,38,F,Married,76500.0,Sales staff
101507,48,F,Married,112500.0,Security staff
101523,47,F,Married,135000.0,Accountants
101534,59,F,Widow,108000.0,
101540,29,F,Married,135000.0,Core staff
101560,45,F,Civil marriage,135000.0,Laborers
101562,46,M,Married,157500.0,Laborers
101579,49,F,Married,144000.0,Laborers
101586,24,F,Single / not married,225000.0,Managers
101589,61,M,Married,140850.0,Laborers
101592,26,F,Married,148500.0,High skill tech staff
101601,55,M,Married,180000.0,Drivers
101615,33,M,Civil marriage,225000.0,Laborers
101634,37,M,Married,112500.0,Laborers
101648,36,F,Single / not married,135000.0,Drivers
101738,42,F,Married,157500.0,Sales staff
101740,38,M,Separated,360000.0,Managers
101751,43,F,Married,157500.0,Sales staff
101761,57,F,Widow,90000.0,Sales staff
101763,27,F,Single / not married,117000.0,
101773,38,F,Separated,180000.0,Medicine staff
101777,43,M,Married,112500.0,High skill tech staff
101795,38,F,Single / not married,405000.0,Sales staff
101804,33,M,Married,90000.0,Drivers
101811,57,M,Married,202500.0,High skill tech staff
101823,36,F,Civil marriage,112500.0,High skill tech staff
101829,43,F,Married,157500.0,Private service staff
101832,37,F,Married,180000.0,Sales staff
101847,34,F,Married,171000.0,Sales staff
101911,43,F,Married,292500.0,Sales staff
101913,49,F,Widow,157500.0,
101923,61,F,Married,180000.0,Security staff
101934,28,M,Married,360000.0,Managers
101935,31,F,Married,247500.0,Waiters/barmen staff
101937,42,M,Married,225000.0,Laborers
101941,29,F,Married,54000.0,Sales staff
101944,49,F,Civil marriage,202500.0,Laborers
101949,42,M,Married,180000.0,Laborers
101966,42,F,Single / not married,112500.0,Medicine staff
102011,41,F,Married,135000.0,Sales staff
102013,32,F,Married,112500.0,Cleaning staff
102016,49,F,Married,121500.0,
102026,42,F,Civil marriage,135000.0,High skill tech staff
102030,47,F,Married,67500.0,
102035,31,F,Married,67500.0,High skill tech staff
102038,32,F,Civil marriage,337500.0,HR staff
102058,50,F,Married,112500.0,Private service staff
102060,49,F,Married,81000.0,Sales staff
102065,52,F,Married,121500.0,Security staff
102069,37,F,Married,65250.0,Core staff
102091,50,F,Married,216000.0,High skill tech staff
102129,39,M,Married,270000.0,Drivers
102136,35,M,Married,225000.0,Laborers
102141,43,F,Married,112500.0,Sales staff
102167,42,F,Separated,112500.0,Medicine staff
102168,54,M,Single / not married,112500.0,
102171,36,F,Married,126000.0,Sales staff
102173,48,F,Separated,67500.0,Cleaning staff
102210,32,M,Married,157500.0,Laborers
102214,51,F,Married,157500.0,Medicine staff
102222,34,M,Married,180000.0,Managers
102236,45,F,Married,225000.0,
102243,30,F,Married,90000.0,
102260,32,M,Married,225000.0,High skill tech staff
102263,27,F,Married,157500.0,Sales staff
102325,21,F,Single / not married,157500.0,
102329,26,M,Married,225000.0,Laborers
102335,41,M,Married,189000.0,High skill tech staff
102336,47,M,Married,315000.0,Managers
102341,27,F,Single / not married,202500.0,
102367,39,M,Married,173250.0,Laborers
102401,34,M,Married,337500.0,High skill tech staff
102418,52,M,Married,270000.0,Security staff
102421,35,F,Civil marriage,135000.0,Cooking staff
102430,54,M,Married,126000.0,
102464,48,F,Separated,135000.0,Cleaning staff
102467,63,M,Married,382500.0,
102515,40,F,Married,130500.0,Core staff
102535,54,F,Married,112500.0,Laborers
102585,36,F,Married,180000.0,High skill tech staff
102586,22,M,Single / not married,135000.0,Laborers
102589,53,M,Separated,450000.0,Managers
102593,44,F,Married,202500.0,
102629,57,F,Married,112500.0,Sales staff
102633,29,F,Married,112500.0,Cooking staff
102639,30,M,Separated,315000.0,Managers
102659,33,F,Single / not married,157500.0,High skill tech staff
102665,40,F,Married,67500.0,Security staff
102675,32,F,Married,270000.0,Accountants
102684,54,F,Married,180000.0,Sales staff
102686,43,M,Married,162000.0,Managers
102707,34,F,Single / not married,292500.0,
102708,27,M,Married,292500.0,Laborers
102718,58,M,Married,157500.0,Managers
102727,29,M,Married,270000.0,Managers
102732,59,M,Married,301500.0,Drivers
102758,32,F,Married,292500.0,Accountants
102797,50,F,Married,112500.0,Private service staff
102806,57,F,Single / not married,162000.0,Cleaning staff
102823,32,M,Married,450000.0,
102824,29,F,Married,67500.0,Sales staff
102840,34,F,Married,103500.0,
102845,45,F,Married,157500.0,Cooking staff
102849,49,F,Separated,99000.0,Medicine staff
102883,24,F,Married,67500.0,Secretaries
102888,37,F,Married,112500.0,Laborers
102894,39,M,Married,360000.0,Managers
102895,54,F,Married,90000.0,Cooking staff
102907,24,F,Single / not married,112500.0,Sales staff
102922,50,M,Single / not married,135000.0,Laborers
102934,29,M,Married,225000.0,Managers
102965,43,F,Single / not married,90000.0,
102966,30,F,Civil marriage,180000.0,Core staff
102974,46,F,Married,67500.0,Cooking staff
102978,53,F,Widow,252000.0,Managers
103003,36,M,Married,270000.0,Laborers
103026,27,M,Married,162000.0,Laborers
103038,39,F,Civil marriage,243900.0,
103054,41,M,Married,315000.0,Managers
103055,43,F,Married,90000.0,Laborers
103065,24,F,Married,112500.0,Sales staff
103080,41,F,Married,202500.0,Sales staff
103085,46,M,Single / not married,391500.0,Managers
103087,30,M,Married,180000.0,Sales staff
103121,41,F,Married,135000.0,Waiters/barmen staff
103135,52,M,Married,112500.0,Laborers
103143,27,M,Single / not married,418500.0,
103169,56,M,Married,81000.0,Laborers
103183,44,M,Married,157500.0,
103201,32,M,Married,180000.0,
103217,30,F,Separated,90000.0,Laborers
103224,36,F,Single / not married,189000.0,Cooking staff
103225,47,F,Civil marriage,90000.0,High skill tech staff
103234,26,F,Single / not married,180000.0,Sales staff
103238,33,F,Married,103500.0,
103260,34,M,Civil marriage,225000.0,Laborers
103265,42,M,Married,103500.0,Laborers
103267,37,F,Married,103500.0,Laborers
103293,41,F,Married,108000.0,Cooking staff
103299,37,M,Married,81000.0,Security staff
103307,39,M,Married,360000.0,Sales staff
103312,58,M,Married,256500.0,Security staff
103348,37,F,Married,112500.0,Laborers
103353,44,M,Married,90000.0,
103360,59,M,Married,234000.0,Laborers
103361,35,M,Single / not married,135000.0,
103362,22,F,Single / not married,135000.0,
103391,54,F,Widow,135000.0,
103394,47,F,Civil marriage,108000.0,Sales staff
103407,25,F,Civil marriage,135000.0,
103412,45,M,Married,135000.0,Laborers
103421,47,F,Married,90000.0,Laborers
103442,41,F,Married,81000.0,Laborers
103497,53,F,Single / not married,135000.0,
103502,41,F,Married,135000.0,Accountants
103517,52,F,Married,135000.0,Core staff
103537,52,F,Married,180000.0,Managers
103539,27,M,Married,157500.0,Laborers
103584,37,F,Married,675000.0,Managers
103587,59,M,Married,112500.0,Laborers
103597,62,M,Separated,306000.0,Laborers
103608,31,F,Single / not married,67500.0,Cleaning staff
103610,48,F,Married,162000.0,Medicine staff
103616,56,F,Married,90000.0,Sales staff
103654,49,M,Married,202500.0,
103657,30,F,Married,225000.0,
103665,43,M,Married,202500.0,Drivers
103692,47,F,Married,202500.0,
103711,25,F,Single / not married,67500.0,High skill tech staff
103737,44,F,Single / not married,99000.0,Security staff
103757,28,M,Married,292500.0,Laborers
103761,51,F,Married,94500.0,Core staff
103778,33,M,Married,202500.0,Drivers
103780,40,F,Widow,135000.0,Sales staff
103787,51,M,Separated,135000.0,High skill tech staff
103788,34,M,Married,180000.0,Drivers
103823,57,F,Married,247500.0,High skill tech staff
103903,36,F,Civil marriage,405000.0,Accountants
103909,47,M,Married,225000.0,
103915,31,F,Separated,171000.0,Sales staff
103926,49,F,Married,157500.0,Laborers
103930,24,M,Single / not married,135000.0,
103953,53,F,Single / not married,171000.0,Core staff
103954,41,M,Married,270000.0,Laborers
103957,32,M,Married,225450.0,
103974,43,M,Married,540000.0,Managers
103975,30,F,Single / not married,72000.0,Sales staff
103983,23,F,Married,180000.0,Sales staff
103992,39,M,Married,450000.0,Managers
104003,28,F,Married,180000.0,Core staff
104007,35,F,Married,72000.0,Laborers
104009,26,M,Married,247500.0,Laborers
104020,34,F,Married,225000.0,Sales staff
104024,32,F,Married,135000.0,Security staff
104027,55,M,Married,180000.0,Laborers
104046,33,M,Married,225000.0,Drivers
104056,37,F,Married,135000.0,Sales staff
104062,34,F,Married,130500.0,Laborers
104065,46,F,Civil marriage,90000.0,Managers
104078,45,F,Married,135000.0,Sales staff
104093,49,F,Married,180000.0,Laborers
104094,50,M,Married,180000.0,Laborers
104140,44,M,Married,270000.0,Laborers
104143,45,F,Single / not married,76500.0,Laborers
104152,27,F,Married,270000.0,Medicine staff
104185,44,F,Married,112500.0,Accountants
104187,45,M,Married,112500.0,Drivers
104199,24,M,Single / not married,103500.0,Drivers
104221,36,F,Civil marriage,180000.0,Laborers
104232,42,M,Single / not married,135000.0,Laborers
104245,32,F,Separated,90000.0,
104249,27,M,Single / not married,157500.0,Drivers
104253,47,F,Married,270000.0,Managers
104255,26,M,Married,202500.0,Laborers
104264,39,F,Married,720000.0,Managers
104267,21,F,Married,50274.0,Sales staff
104268,40,F,Married,220500.0,Low-skill Laborers
104299,40,F,Married,225000.0,Laborers
104312,32,F,Married,90000.0,Laborers
104335,39,F,Married,160200.0,Managers
104336,41,F,Married,157500.0,Managers
104360,56,F,Civil marriage,90000.0,Sales staff
104362,45,M,Married,188667.0,Laborers
104363,51,F,Single / not married,180000.0,Cooking staff
104390,54,F,Separated,135000.0,Security staff
104431,28,M,Married,126000.0,Sales staff
104436,48,F,Married,121500.0,Core staff
104452,34,F,Single / not married,270000.0,
104494,23,M,Single / not married,130500.0,Laborers
104504,24,F,Single / not married,112500.0,Sales staff
104513,47,F,Married,225000.0,Laborers
104536,34,F,Married,157500.0,Cooking staff
104542,54,M,Married,180000.0,Laborers
104543,21,M,Single / not married,90000.0,Sales staff
104562,54,F,Separated,135000.0,Laborers
104581,44,F,Civil marriage,90000.0,Cooking staff
104589,48,M,Married,135000.0,Laborers
104603,32,F,Single / not married,202500.0,Core staff
104632,46,M,Single / not married,157500.0,Drivers
104645,52,F,Married,135000.0,High skill tech staff
104671,56,F,Single / not married,126000.0,Laborers
104688,51,M,Married,112500.0,Drivers
104694,35,F,Married,117000.0,Security staff
104701,26,M,Married,112500.0,Laborers
104708,39,F,Married,202500.0,Sales staff
104715,55,F,Single / not married,135000.0,
104724,40,F,Separated,148500.0,
104725,43,F,Married,81000.0,Managers
104732,40,M,Married,247500.0,Drivers
104764,48,F,Married,202500.0,Managers
104771,29,F,Civil marriage,225000.0,Accountants
104797,38,F,Married,135000.0,
104801,56,M,Separated,144000.0,Drivers
104805,29,M,Married,99000.0,Laborers
104808,40,F,Civil marriage,157500.0,Core staff
104812,45,M,Married,225000.0,Drivers
104852,44,M,Married,180000.0,Laborers
104862,35,M,Married,202500.0,Core staff
104873,27,F,Single / not married,180000.0,Accountants
104876,43,F,Married,157500.0,High skill tech staff
104881,50,F,Single / not married,76500.0,Laborers
104910,54,M,Married,135000.0,Core staff
104939,35,F,Married,157500.0,Core staff
104952,42,M,Married,292500.0,Laborers
104958,25,F,Married,67500.0,Medicine staff
104963,40,F,Married,270000.0,Secretaries
104966,36,F,Married,121500.0,Medicine staff
104979,29,M,Married,157500.0,
104984,44,F,Married,225000.0,Managers
104987,42,F,Single / not married,180000.0,Sales staff
105001,44,F,Married,72000.0,
105007,35,F,Married,81000.0,Laborers
105016,38,F,Married,202500.0,Core staff
105047,25,F,Single / not married,189000.0,Core staff
105075,25,F,Single / not married,112500.0,Core staff
105078,23,F,Single / not married,157500.0,Sales staff
105135,53,F,Separated,135000.0,Core staff
105136,25,F,Married,112500.0,Private service staff
105138,35,M,Married,180000.0,
105141,38,M,Married,292500.0,Core staff
105149,63,F,Married,315000.0,Private service staff
105154,39,F,Single / not married,153000.0,Waiters/barmen staff
105177,49,M,Married,195750.0,Laborers
105184,47,F,Married,112500.0,Private service staff
105191,35,F,Married,270000.0,
105215,39,F,Married,112500.0,Laborers
105217,40,M,Married,121500.0,
105226,42,M,Married,121500.0,Managers
105237,28,F,Married,90000.0,
105238,51,F,Married,135000.0,Managers
105246,42,M,Married,144000.0,Laborers
105296,31,M,Married,112500.0,Low-skill Laborers
105337,43,F,Civil marriage,202500.0,Core staff
105342,35,M,Married,135000.0,
105355,32,M,Married,112500.0,Laborers
105361,53,F,Widow,202500.0,Managers
105395,38,M,Married,112500.0,Laborers
105421,36,F,Married,157500.0,High skill tech staff
105442,55,M,Married,450000.0,High skill tech staff
105463,32,F,Married,81000.0,
105476,53,F,Civil marriage,90000.0,Security staff
105489,52,F,Married,720000.0,Managers
105543,53,M,Married,144000.0,Laborers
105563,55,M,Married,81000.0,Drivers
105568,24,F,Single / not married,90000.0,Sales staff
105569,38,M,Married,90000.0,Managers
105575,48,M,Married,144000.0,Core staff
105583,52,F,Married,76500.0,Laborers
105590,44,M,Married,225000.0,Drivers
105602,45,F,Married,202500.0,Accountants
105606,61,M,Married,202500.0,
105609,44,M,Single / not married,225000.0,Laborers
105612,28,M,Single / not married,202500.0,Laborers
105627,51,M,Married,202500.0,Laborers
105687,36,F,Married,117000.0,Core staff
105714,36,F,Married,225000.0,Core staff
105730,35,F,Married,90000.0,Laborers
105732,34,F,Separated,135000.0,Managers
105750,29,F,Single / not married,202500.0,
105755,37,M,Married,126000.0,Laborers
105772,50,F,Married,135000.0,Medicine staff
105799,37,F,Married,135000.0,Core staff
105803,41,F,Married,135000.0,
105813,46,F,Single / not married,135000.0,
105820,58,F,Married,139500.0,Laborers
105842,29,M,Married,157500.0,
105863,35,F,Married,45000.0,Cooking staff
105868,53,F,Married,90000.0,Sales staff
105871,41,F,Single / not married,135000.0,Accountants
105878,48,M,Married,193500.0,Security staff
105882,50,M,Married,112500.0,Drivers
105904,46,F,Married,315000.0,Managers
105959,33,F,Married,180000.0,Sales staff
105961,27,F,Married,90000.0,Core staff
105963,31,M,Married,225000.0,
106004,42,F,Married,112500.0,Medicine staff
106029,45,F,Married,135000.0,High skill tech staff
106060,31,F,Married,112500.0,Private service staff
106072,42,M,Married,315000.0,Laborers
106086,45,F,Separated,90000.0,Core staff
106092,41,F,Single / not married,90000.0,Cleaning staff
106096,42,F,Married,157500.0,Laborers
106119,37,M,Married,180000.0,Managers
106124,52,F,Married,90000.0,Sales staff
106130,34,M,Single / not married,180000.0,Laborers
106133,42,F,Married,90000.0,Sales staff
106137,37,F,Married,67500.0,
106145,27,M,Civil marriage,157500.0,Laborers
106153,53,F,Married,144000.0,Accountants
106156,53,F,Married,112500.0,
106161,29,F,Married,202500.0,
106164,35,F,Civil marriage,157500.0,Sales staff
106170,37,F,Married,180000.0,Managers
106175,25,M,Married,135000.0,Drivers
106179,49,F,Single / not married,292500.0,
106209,48,M,Married,157500.0,Drivers
106218,47,F,Married,99000.0,Cooking staff
106222,41,M,Married,90000.0,Laborers
106224,49,F,Separated,90000.0,Sales staff
106240,26,F,Single / not married,90000.0,Sales staff
106275,31,M,Single / not married,180000.0,
106278,45,F,Married,157500.0,Managers
106282,44,F,Married,135000.0,Core staff
106283,35,F,Married,180000.0,Laborers
106306,44,F,Married,112500.0,Laborers
106308,43,F,Married,112500.0,Cooking staff
106310,21,F,Married,202500.0,Sales staff
106312,23,F,Married,67500.0,Accountants
106337,39,F,Civil marriage,90000.0,Medicine staff
106340,23,F,Single / not married,135000.0,Sales staff
106351,45,F,Married,112500.0,Core staff
106352,23,F,Married,112500.0,Core staff
106357,45,M,Married,360000.0,Drivers
106363,50,F,Married,148500.0,Sales staff
106371,41,F,Married,112500.0,Core staff
106388,32,M,Married,517500.0,
106390,49,M,Single / not married,90000.0,Security staff
106393,38,F,Married,49500.0,
106415,48,F,Married,135000.0,Sales staff
106423,48,F,Separated,247500.0,Managers
106444,50,F,Married,360000.0,Managers
106451,52,F,Married,81000.0,Sales staff
106460,39,F,Married,180000.0,
106473,39,F,Civil marriage,90000.0,Medicine staff
106475,52,M,Civil marriage,225000.0,Low-skill Laborers
106493,50,F,Married,103500.0,Cleaning staff
106494,41,F,Single / not married,270000.0,Laborers
106500,39,M,Separated,90000.0,Drivers
106507,64,F,Married,225000.0,Core staff
106521,34,F,Married,67500.0,Cleaning staff
106543,35,F,Married,135000.0,Private service staff
106554,47,M,Married,540000.0,Core staff
106587,31,M,Married,315000.0,Managers
106597,58,M,Married,126000.0,Security staff
106606,33,F,Married,90000.0,Core staff
106608,47,M,Civil marriage,450000.0,Managers
106618,37,M,Civil marriage,315000.0,Drivers
106639,42,F,Civil marriage,99000.0,Sales staff
106640,38,M,Married,675000.0,Managers
106642,38,M,Married,202500.0,Laborers
106644,53,M,Married,121500.0,Cleaning staff
106652,48,F,Married,112500.0,
106671,31,F,Single / not married,67500.0,Medicine staff
106672,59,M,Married,405000.0,
106677,47,M,Married,202500.0,Laborers
106686,53,F,Married,157500.0,Managers
106704,47,M,Single / not married,67500.0,Managers
106707,27,F,Married,157500.0,
106722,36,F,Married,157500.0,Sales staff
106725,38,F,Married,112500.0,
106742,29,M,Married,247500.0,Core staff
106747,46,F,Married,135000.0,
106762,49,F,Married,112500.0,Laborers
106809,32,M,Married,270000.0,High skill tech staff
106820,53,F,Single / not married,351000.0,Accountants
106875,53,F,Married,283500.0,
106879,54,M,Widow,112500.0,
106885,36,F,Married,112500.0,Sales staff
106923,63,M,Married,324000.0,Laborers
106952,52,F,Married,157500.0,Drivers
106959,39,F,Single / not married,225000.0,
106972,50,F,Married,94500.0,Laborers
106975,53,F,Married,112500.0,Laborers
106979,38,M,Married,180000.0,Managers
107001,29,F,Married,112500.0,Sales staff
107046,49,F,Married,49500.0,Laborers
107050,25,F,Civil marriage,360000.0,Managers
107051,51,F,Single / not married,450000.0,Private service staff
107058,43,F,Separated,112500.0,Laborers
107062,39,M,Married,112500.0,Laborers
107090,41,F,Single / not married,58500.0,Core staff
107097,54,M,Married,112500.0,Core staff
107107,40,F,Civil marriage,157500.0,Laborers
107111,45,F,Married,180000.0,
107118,53,F,Married,157500.0,Accountants
107129,33,M,Married,180000.0,Drivers
107149,49,F,Married,45000.0,Medicine staff
107154,23,M,Single / not married,225000.0,Laborers
107159,51,M,Civil marriage,202500.0,Laborers
107169,49,M,Married,180000.0,Security staff
107183,44,M,Separated,126000.0,Laborers
107186,40,F,Married,112500.0,Medicine staff
107190,37,F,Married,157500.0,Core staff
107206,54,F,Married,202500.0,Security staff
107229,31,F,Married,189000.0,Accountants
107230,36,M,Single / not married,405000.0,Managers
107244,60,M,Married,126000.0,
107249,57,F,Separated,99000.0,Medicine staff
107262,31,F,Married,189000.0,Managers
107267,65,F,Married,135000.0,Core staff
107286,22,F,Married,90000.0,
107292,34,F,Married,157500.0,Laborers
107304,40,M,Civil marriage,270000.0,Security staff
107309,23,M,Civil marriage,113742.0,Core staff
107314,22,F,Married,202500.0,Sales staff
107316,54,F,Married,67500.0,Private service staff
107323,53,F,Married,225000.0,Laborers
107325,24,M,Civil marriage,90000.0,Laborers
107339,48,F,Married,40500.0,Cleaning staff
107341,47,F,Married,135000.0,Sales staff
107355,60,F,Widow,81000.0,Medicine staff
107357,56,M,Married,112500.0,Drivers
107361,34,F,Married,81000.0,Laborers
107368,56,F,Married,315000.0,Low-skill Laborers
107369,56,F,Separated,180000.0,Drivers
107383,24,F,Married,112500.0,High skill tech staff
107387,22,F,Civil marriage,135000.0,Core staff
107400,43,M,Married,247500.0,Drivers
107402,28,F,Married,157500.0,Sales staff
107411,57,M,Married,180000.0,Drivers
107422,48,F,Married,63000.0,Laborers
107425,41,F,Married,225000.0,
107465,35,F,Married,81000.0,Laborers
107471,34,F,Married,103500.0,Cleaning staff
107485,28,F,Civil marriage,99000.0,Laborers
107542,51,F,Separated,112500.0,Sales staff
107547,35,F,Married,157500.0,Sales staff
107551,24,F,Single / not married,102024.0,Sales staff
107565,39,M,Married,292500.0,Security staff
107569,30,M,Civil marriage,112500.0,Drivers
107575,32,F,Married,162000.0,Sales staff
107604,48,F,Married,202500.0,Sales staff
107608,40,M,Married,180000.0,Security staff
107618,56,M,Married,225000.0,
107631,57,F,Married,180000.0,Cooking staff
107681,30,F,Married,67500.0,Sales staff
107694,60,M,Married,117000.0,Laborers
107717,32,F,Civil marriage,157500.0,Accountants
107718,62,M,Civil marriage,112500.0,Security staff
107729,26,M,Single / not married,180000.0,Drivers
107732,33,F,Married,126000.0,Medicine staff
107734,26,F,Married,180000.0,
107751,41,F,Married,90000.0,Secretaries
107759,54,M,Married,202500.0,Laborers
107760,33,M,Married,211500.0,Laborers
107766,50,F,Married,112500.0,Accountants
107767,44,F,Civil marriage,135000.0,
107794,21,M,Single / not married,90000.0,Laborers
107795,55,M,Married,270000.0,Drivers
107803,35,M,Married,90000.0,Laborers
107812,25,F,Single / not married,612000.0,Managers
107832,54,F,Married,135000.0,Laborers
107836,57,M,Married,225000.0,Laborers
107862,43,F,Single / not married,288000.0,Cleaning staff
107864,46,F,Married,360000.0,Managers
107885,59,F,Married,135000.0,
107887,45,F,Civil marriage,270000.0,Accountants
107896,34,M,Married,162000.0,
107900,36,F,Single / not married,315000.0,Managers
107919,26,M,Married,180000.0,Managers
107929,35,M,Married,157500.0,
107936,47,F,Separated,135000.0,
107943,51,F,Married,40500.0,Laborers
107974,50,F,Separated,67500.0,Accountants
107989,51,M,Married,306000.0,
107999,26,M,Single / not married,108000.0,Laborers
108007,31,M,Married,157500.0,
108019,52,F,Single / not married,292500.0,
108040,31,F,Married,103500.0,Medicine staff
108042,38,F,Civil marriage,135000.0,
108050,31,F,Civil marriage,180000.0,Core staff
108081,37,M,Married,72000.0,Drivers
108100,41,F,Married,45000.0,High skill tech staff
108103,53,F,Married,202500.0,Sales staff
108114,50,M,Married,135000.0,High skill tech staff
108181,38,M,Married,157500.0,Laborers
108237,30,M,Single / not married,135000.0,Laborers
108279,46,F,Single / not married,135000.0,
108293,29,F,Married,121500.0,
108310,31,M,Single / not married,63000.0,
108336,32,F,Married,112500.0,Core staff
108341,36,F,Married,90000.0,Core staff
108352,41,F,Married,220500.0,Sales staff
108354,32,F,Married,157500.0,Medicine staff
108360,28,M,Married,157500.0,Waiters/barmen staff
